|0
1|Miu is like a walking personality complex and you pretty much have to beat the use out of her every time. I'll give you she is pretty amusing though.Kiyo has proven himself both intelligent and reliable, while still being very unique and strange. I like him :)
2|Maki Harukawa. Nobody can convince me otherwise!
3|Not only my favorite of this game, but now better than my previous favorites Fuyuhiko Kuzuryu and Gundham Tanaka: Luminary of the Stars himself, Kaito Momota.The guy just has so much positivity and his never give up attitude does rub off on people around him. Sure his idiocy can be a bit grating at times, but he more than makes up for it by showing just how much of a genuinely good guy and good influence he is. Can't go to specifics without spoilers, but if you played to the end you know what I mean.
4|Same as Nadeshiko, Maki. However, I like Kirumi a lot tooShuichi is good but heck i have too many favourites lol
5|I have loads of favorites like Maki, Kaito... Kirumi, Kokichi... but I would have to say Himiko since she's the first one on my list. She's adorable and I love her a lot! This game definitely had solid characters, I love them all.
6|Tsumugi Shirogane.Why?I just love her.Also, Case 6
7|ryoma, easily
8|Tenko  *and Kaede*
9|Originally posted by Nadeshiko:Maki Harukawa. Nobody can convince me otherwise!
10|Without further thinking, Kokichi Ouma.Although I know why people usually tend to hate this kind of character (much like Nagito), I can't help but liking him by the way I see his manipulative and twisted character. He is probably one of, if not the most complex characters in the game.Class trial won't be that interesting without this anti-villain.Probably one of the reasons class trial 6 is my least favorite
11|even after seeing his... uh, interest, korekiyo is 100% my favorite!! he has, to me, the most interesting character at face-value, and although ch3 i feel like the writers honestly got lazy/overshot how much they put into his backstory (really without the whole incest thing he would be the same exact character), hes just... good. very cool 10/10 great personality and his weirdness is exactly what i wanted to see come out of a design like thatplus he has the best design out of any of the v3 kids and his voice acting is great. also also eyeliner on fleek
12|Kokichi Ouma, without a question.
13|I'm surprise so far no one has said any monokubs like monotaro
14|Originally posted by NgzeroNigel:I'm surprise so far no one has said any monokubs like monotaro
15|I didn't start liking Kokichi a lot until way later in the game. I enjoyed looking at his research lab as well as his room in the dormitory along with everything he hoarded and that's just when I started to predict what was going on in his head throughout the killing game. I wondered about what was genuine and what were lies. For someone like me who claims to hate this guy, I analyze him a lot as a character because he's interesting!
16|I kinda like monotaro, the rest of monokubs are annoying though.
17|kirumi and monotaro
18|Miu is a goddess
19|Shuichi is my favorite. It was enjoyable watching him grow throughout the game.
20|I liked everyone except for Korokiyo, my favorites would have to be Maki and Gonta.
21|I actually like this cast a lot, possibly more than the previous games. My least favorite character is probably Shuichi (and yeah, Case 1 was a huge dickpunch :p). I thought I would dislike Gonta more than I did, and even Tenko grows on you. A bitIf I absolutely had to pick a favorite, it would probably be Kokichi for being such an instigator. Nothing he says is boring. :)
22|Miu & Oma
23|Himiko - she is insanely adorable.
24|The savior, Kibo
25|Maki <3    used to be Kaede r.i.p my love
26|for me honestly that will be maki after chapter 2, then second is Angie, then kokichi for imba action lol
27|Originally posted by vmrecca:for me honestly that will be maki after chapter 2, then second is Angie, then kokichi for imba action lol
28|K1-b0. Of course as soon as I started to like him I became paranoid he'd be a murderer or murder victem early on like most of my favorites in these games.
29|Kokichi was my favourite from the moment I saw him. Still my favourite even after finishing the game.
30|Originally posted by evesname191:K1-b0. Of course as soon as I started to like him I became paranoid he'd be a murderer or murder victem early on like most of my favorites in these games.
31|Kirumi, Oma. Miu gets bonus points for being the funnyest of all goofy character from previous games (teruteru/toko). Least favorite would be Angie and Ryoma
32|ALL PRAISE THE LUMINARY OF THE STARS KAITO! I NEED TO MARRY HHIM HE IS DADDY! Next to him I love Shuichi, Maki, and Miu.
33|Probably Shuichi, by the end. He steadily grows into a good character rather than JUST being a fun prepackaged trope.
34|Kaede. ????, why did she have to die?
35|Kaede, Kokichi and Maki
36|Kokichi 100%
37|Kaito and Kaede
