|0
9|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1520386297704147352"">Nadeshiko</a></b>:</div>Maki Harukawa. Nobody can convince me otherwise! </blockquote>"
14|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1520386297704852714"">NgzeroNigel</a></b>:</div>I'm surprise so far no one has said any monokubs like monotaro </blockquote>"
27|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987633994915046"">vmrecca</a></b>:</div>for me honestly that will be maki after chapter 2, then second is Angie, then kokichi for imba action lol </blockquote>"
30|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987633994955663"">evesname191</a></b>:</div>K1-b0. Of course as soon as I started to like him I became paranoid he'd be a murderer or murder victem early on like most of my favorites in these games. </blockquote>"
42|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1520386297704167178"">Greil9</a></b>:</div>Not only my favorite of this game, but now better than my previous favorites Fuyuhiko Kuzuryu and Gundham Tanaka: Luminary of the Stars himself, Kaito Momota.<br/><br/>The guy just has so much positivity and his never give up attitude does rub off on people around him. Sure his idiocy can be a bit grating at times, but he more than makes up for it by showing just how much of a genuinely good guy and good influence he is. Can't go to specifics without spoilers, but if you played to the end you know what I mean. </blockquote>"
45|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634005857762"">Sunwave</a></b>:</div>Miu, because I don't find her annoying. She's rude/brash, but she means well and it seems as if she's pretty lonely too. And it's hilarious that she's actually so wimpy. It makes her cute. If she didn't have the wimpy side she would have been a lot more annoying, I think.<br/><br/><span class=""bb_spoiler""><span>Also, she actually is the one that does the most with her talent out of all the danganronpa games. She made plenty of stuff, did requests, improved Kibo, changed the virtual world, etc.</span></span> </blockquote>"
47|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634005867948""> </a></b>:</div>makoto neagi </blockquote>"
54|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634011276143"">WizoDard</a></b>:</div>After reading this entire thread discussion, I am very surprised that a lot of people actually liked Iruma. I would have to say, she was very funny every time she came on screen, but when Ouma started being mean to her I was not happy. He knew that was her vulnerable side and utilized it <span class=""bb_spoiler""><span> mostly in Chapter 4 </span></span> and it was not funny to me...</blockquote>"
56|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634011900856"">xlightthefuse</a></b>:</div>I replied to this thread before but I think my list changed after getting to know the characters more.<br/><br/>1. Maki: I like how innocent she can be despite being an <span class=""bb_spoiler""><span>assassin</span></span>. She likes reading manga as well as sweets and I find that really cute!<br/>2. Kokichi: I hate the guy for doing what he did <span class=""bb_spoiler""><span>to Gonta and Kaito</span></span> but he's a well written character, obviously intelligent! Despite his malicious behavior in the game, he doesn't like killing anyone and enjoys the police.<br/>3. Korekiyo: You can't find a better passionate character than him in this batch. He's also just as intelligent, I personally love aura that he emits. <br/>4. Himiko: She acts like a 10 year old and doesn't seem like a high school student at all but she's so innocent, it's hard NOT to like her. Sure, she can be lazy but that's not anything to be too concerned about and there are others with worse traits. <br/>5. Kaito: Do I have to say? He's positive and would much rather look on the bright side. He's a good friend to Shuichi as well as Maki and he wants to make everyone feel good and considers their feelings and troubles in order to help his friends gain confidence. </blockquote>"
59|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634012300925"">Tharne</a></b>:</div>Top 3 Favorites :<br/>-Gonta : <span class=""bb_spoiler""><span>Tragic culprit, the only death that really moved me.</span></span><br/>-Ryoma : Cool guy.<br/>-K1-B0 : It's a mech.<br/><br/>Top 3 Least Favorites :<br/>-Angie : <span class=""bb_spoiler""><span>Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.</span></span><br/>-Kirumi : Loved her during Chapter 1...<span class=""bb_spoiler""><span>Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.</span></span><br/>-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell. </blockquote>"
60|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634012300925"">Tharne</a></b>:</div>Top 3 Favorites :<br/>-Gonta : <span class=""bb_spoiler""><span>Tragic culprit, the only death that really moved me.</span></span><br/>-Ryoma : Cool guy.<br/>-K1-B0 : It's a mech.<br/><br/>Top 3 Least Favorites :<br/>-Angie : <span class=""bb_spoiler""><span>Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.</span></span><br/>-Kirumi : Loved her during Chapter 1...<span class=""bb_spoiler""><span>Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.</span></span><br/>-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell. </blockquote>"
61|"<blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634013710279"">Battler Ushiromiya</a></b>:</div><blockquote class=""bb_blockquote with_author""><div class=""bb_quoteauthor"">Originally posted by <b><a href=""#c1489987634012300925"">Tharne</a></b>:</div>Top 3 Favorites :<br/>-Gonta : <span class=""bb_spoiler""><span>Tragic culprit, the only death that really moved me.</span></span><br/>-Ryoma : Cool guy.<br/>-K1-B0 : It's a mech.<br/><br/>Top 3 Least Favorites :<br/>-Angie : <span class=""bb_spoiler""><span>Her little cult was starting to annoy me since Himiko got on board. During Chapter 3, I was really starting to lose interest in the game because of this ????ing Atua and hoped that she wasn't going to reach Chapter 4, my prayer was heard.</span></span><br/>-Kirumi : Loved her during Chapter 1...<span class=""bb_spoiler""><span>Then Chapter 2 came and her real face showed up during the Class Trial, what a horrible human being of a character.</span></span><br/>-Kokichi : Really good writing for this character, doesn't change the fact that he was annoying as hell. </blockquote>How the hell was <span class=""bb_spoiler""><span>Kirumi a bad person?</span></span> </blockquote>"
